PERMNO,date,TICKER,RET
89848,04/10/2015,AGG,0.000000
89848,04/13/2015,AGG,0.001079
89848,04/14/2015,AGG,0.001077
89848,04/15/2015,AGG,0.001345
89848,04/16/2015,AGG,-0.000537
89848,04/17/2015,AGG,0.000807
89848,04/20/2015,AGG,-0.000716
89848,04/21/2015,AGG,-0.001075
89848,04/22/2015,AGG,-0.002960
89848,04/23/2015,AGG,0.001530
89848,04/24/2015,AGG,0.001707
89848,04/27/2015,AGG,0.000359
89848,04/28/2015,AGG,-0.003855
89848,04/29/2015,AGG,-0.002250
89848,04/30/2015,AGG,0.000000
89848,05/01/2015,AGG,-0.002832
89848,05/04/2015,AGG,-0.001897
89848,05/05/2015,AGG,-0.000914
89848,05/06/2015,AGG,-0.003363
89848,05/07/2015,AGG,0.002462
89848,05/08/2015,AGG,0.003275
89848,05/11/2015,AGG,-0.006347
89848,05/12/2015,AGG,-0.000091
89848,05/13/2015,AGG,-0.000091
89848,05/14/2015,AGG,0.001552
89848,05/15/2015,AGG,0.004192
89848,05/18/2015,AGG,-0.003811
89848,05/19/2015,AGG,-0.003461
89848,05/20/2015,AGG,0.001554
89848,05/21/2015,AGG,0.003103
89848,05/22/2015,AGG,-0.001092
89848,05/26/2015,AGG,0.002459
89848,05/27/2015,AGG,0.000999
89848,05/28/2015,AGG,-0.000363
89848,05/29/2015,AGG,0.000363
89848,06/01/2015,AGG,-0.002756
89848,06/02/2015,AGG,-0.003921
89848,06/03/2015,AGG,-0.003937
89848,06/04/2015,AGG,0.002114
89848,06/05/2015,AGG,-0.004402
89848,06/08/2015,AGG,0.001474
89848,06/09/2015,AGG,-0.002852
89848,06/10/2015,AGG,-0.002491
89848,06/11/2015,AGG,0.005364
89848,06/12/2015,AGG,-0.001196
89848,06/15/2015,AGG,0.001197
89848,06/16/2015,AGG,0.001656
89848,06/17/2015,AGG,0.000092
89848,06/18/2015,AGG,-0.000275
89848,06/19/2015,AGG,0.003123
89848,06/22/2015,AGG,-0.004945
89848,06/23/2015,AGG,-0.002301
89848,06/24/2015,AGG,0.001568
89848,06/25/2015,AGG,-0.001105
89848,06/26/2015,AGG,-0.002397
89848,06/29/2015,AGG,0.005914
89848,06/30/2015,AGG,-0.000643
89848,07/01/2015,AGG,-0.002515
89848,07/02/2015,AGG,0.001385
89848,07/06/2015,AGG,0.003596
89848,07/07/2015,AGG,0.001378
89848,07/08/2015,AGG,0.002386
89848,07/09/2015,AGG,-0.003662
89848,07/10/2015,AGG,-0.004226
89848,07/13/2015,AGG,-0.001476
89848,07/14/2015,AGG,0.001663
89848,07/15/2015,AGG,0.002675
89848,07/16/2015,AGG,0.000828
89848,07/17/2015,AGG,0.000092
89848,07/20/2015,AGG,-0.001747
89848,07/21/2015,AGG,0.001657
89848,07/22/2015,AGG,0.000460
89848,07/23/2015,AGG,0.002848
89848,07/24/2015,AGG,-0.000183
89848,07/27/2015,AGG,0.001283
89848,07/28/2015,AGG,-0.001007
89848,07/29/2015,AGG,-0.000825
89848,07/30/2015,AGG,0.000092
89848,07/31/2015,AGG,0.003942
89848,08/03/2015,AGG,0.001031
89848,08/04/2015,AGG,-0.002925
89848,08/05/2015,AGG,-0.001834
89848,08/06/2015,AGG,0.001194
89848,08/07/2015,AGG,0.001743
89848,08/10/2015,AGG,-0.001282
89848,08/11/2015,AGG,0.003301
89848,08/12/2015,AGG,-0.000640
89848,08/13/2015,AGG,-0.002103
89848,08/14/2015,AGG,-0.000458
89848,08/17/2015,AGG,0.001742
89848,08/18/2015,AGG,-0.001831
89848,08/19/2015,AGG,0.003118
89848,08/20/2015,AGG,0.001554
89848,08/21/2015,AGG,0.001734
89848,08/24/2015,AGG,-0.000364
89848,08/25/2015,AGG,-0.002370
89848,08/26/2015,AGG,-0.004659
89848,08/27/2015,AGG,0.001377
89848,08/28/2015,AGG,-0.000917
89848,08/31/2015,AGG,-0.000734
89848,09/01/2015,AGG,0.002960
89848,09/02/2015,AGG,-0.001284
89848,09/03/2015,AGG,0.001470
89848,09/04/2015,AGG,0.002109
89848,09/08/2015,AGG,-0.002379
89848,09/09/2015,AGG,0.000367
89848,09/10/2015,AGG,-0.001100
89848,09/11/2015,AGG,0.001193
89848,09/14/2015,AGG,0.000275
89848,09/15/2015,AGG,-0.004492
89848,09/16/2015,AGG,-0.000829
89848,09/17/2015,AGG,0.006267
89848,09/18/2015,AGG,0.000824
89848,09/21/2015,AGG,-0.002654
89848,09/22/2015,AGG,0.002386
89848,09/23/2015,AGG,-0.000824
89848,09/24/2015,AGG,0.001283
89848,09/25/2015,AGG,-0.001738
89848,09/28/2015,AGG,0.002383
89848,09/29/2015,AGG,0.001554
89848,09/30/2015,AGG,0.000365
89848,10/01/2015,AGG,0.000776
89848,10/02/2015,AGG,0.003015
89848,10/05/2015,AGG,-0.003734
89848,10/06/2015,AGG,0.002468
89848,10/07/2015,AGG,-0.000730
89848,10/08/2015,AGG,-0.001369
89848,10/09/2015,AGG,-0.000822
89848,10/12/2015,AGG,0.002561
89848,10/13/2015,AGG,0.000091
89848,10/14/2015,AGG,0.003740
89848,10/15/2015,AGG,-0.001363
89848,10/16/2015,AGG,-0.001001
89848,10/19/2015,AGG,0.001002
89848,10/20/2015,AGG,-0.002002
89848,10/21/2015,AGG,0.002371
89848,10/22/2015,AGG,0.000182
89848,10/23/2015,AGG,-0.001728
89848,10/26/2015,AGG,0.000456
89848,10/27/2015,AGG,0.001457
89848,10/28/2015,AGG,-0.003001
89848,10/29/2015,AGG,-0.004287
89848,10/30/2015,AGG,0.002657
89848,11/02/2015,AGG,-0.001968
89848,11/03/2015,AGG,-0.001834
89848,11/04/2015,AGG,0.000000
89848,11/05/2015,AGG,-0.000460
89848,11/06/2015,AGG,-0.004781
89848,11/09/2015,AGG,-0.000647
89848,11/10/2015,AGG,0.001849
89848,11/11/2015,AGG,-0.001292
89848,11/12/2015,AGG,0.000924
89848,11/13/2015,AGG,0.001938
89848,11/16/2015,AGG,0.000829
89848,11/17/2015,AGG,0.000736
89848,11/18/2015,AGG,-0.000736
89848,11/19/2015,AGG,0.000460
89848,11/20/2015,AGG,-0.000644
89848,11/23/2015,AGG,0.000276
89848,11/24/2015,AGG,0.000920
89848,11/25/2015,AGG,0.000460
89848,11/27/2015,AGG,-0.000276
89848,11/30/2015,AGG,0.000368
89848,12/01/2015,AGG,0.003491
89848,12/02/2015,AGG,-0.001241
89848,12/03/2015,AGG,-0.007315
89848,12/04/2015,AGG,0.003244
89848,12/07/2015,AGG,0.001478
89848,12/08/2015,AGG,0.000369
89848,12/09/2015,AGG,0.000000
89848,12/10/2015,AGG,-0.000184
89848,12/11/2015,AGG,0.002490
89848,12/14/2015,AGG,-0.004692
89848,12/15/2015,AGG,0.000092
89848,12/16/2015,AGG,-0.001756
89848,12/17/2015,AGG,0.001389
89848,12/18/2015,AGG,0.002127
89848,12/21/2015,AGG,-0.000923
89848,12/22/2015,AGG,-0.000739
89848,12/23/2015,AGG,-0.000185
89848,12/24/2015,AGG,0.000484
89848,12/28/2015,AGG,0.000000
89848,12/29/2015,AGG,-0.002500
89848,12/30/2015,AGG,-0.000186
89848,12/31/2015,AGG,0.002692
89848,01/04/2016,AGG,-0.000370
89848,01/05/2016,AGG,0.000463
89848,01/06/2016,AGG,0.003796
89848,01/07/2016,AGG,-0.000092
89848,01/08/2016,AGG,0.002214
89848,01/11/2016,AGG,-0.002853
89848,01/12/2016,AGG,0.002215
89848,01/13/2016,AGG,0.002302
89848,01/14/2016,AGG,-0.000367
89848,01/15/2016,AGG,0.001195
89848,01/19/2016,AGG,-0.001010
89848,01/20/2016,AGG,0.000827
89848,01/21/2016,AGG,-0.001377
89848,01/22/2016,AGG,0.000736
89848,01/25/2016,AGG,-0.000551
89848,01/26/2016,AGG,0.001287
89848,01/27/2016,AGG,0.000184
89848,01/28/2016,AGG,0.000826
89848,01/29/2016,AGG,0.002935
89848,02/01/2016,AGG,-0.001207
89848,02/02/2016,AGG,0.003028
89848,02/03/2016,AGG,-0.000091
89848,02/04/2016,AGG,0.001006
89848,02/05/2016,AGG,-0.000914
89848,02/08/2016,AGG,0.003842
89848,02/09/2016,AGG,-0.000091
89848,02/10/2016,AGG,0.002461
89848,02/11/2016,AGG,0.000636
89848,02/12/2016,AGG,-0.002726
89848,02/16/2016,AGG,-0.002460
89848,02/17/2016,AGG,-0.000548
89848,02/18/2016,AGG,0.003015
89848,02/19/2016,AGG,0.000182
89848,02/22/2016,AGG,0.000273
89848,02/23/2016,AGG,0.000182
89848,02/24/2016,AGG,0.000364
89848,02/25/2016,AGG,0.002548
89848,02/26/2016,AGG,-0.001816
89848,02/29/2016,AGG,0.001182
89848,03/01/2016,AGG,-0.002993
89848,03/02/2016,AGG,-0.001096
89848,03/03/2016,AGG,0.001188
89848,03/04/2016,AGG,-0.001552
89848,03/07/2016,AGG,-0.000274
89848,03/08/2016,AGG,0.002469
89848,03/09/2016,AGG,-0.000456
89848,03/10/2016,AGG,0.000456
89848,03/11/2016,AGG,-0.001825
89848,03/14/2016,AGG,0.000548
89848,03/15/2016,AGG,-0.000913
89848,03/16/2016,AGG,0.004297
89848,03/17/2016,AGG,0.002094
89848,03/18/2016,AGG,0.000818
89848,03/21/2016,AGG,-0.002178
89848,03/22/2016,AGG,-0.000637
89848,03/23/2016,AGG,0.002185
89848,03/24/2016,AGG,0.000091
89848,03/28/2016,AGG,0.000727
89848,03/29/2016,AGG,0.002995
89848,03/30/2016,AGG,-0.000362
89848,03/31/2016,AGG,0.003123
89848,04/01/2016,AGG,-0.000843
89848,04/04/2016,AGG,0.000995
89848,04/05/2016,AGG,0.001356
89848,04/06/2016,AGG,-0.000181
89848,04/07/2016,AGG,0.002167
89848,04/08/2016,AGG,-0.000991
89848,04/11/2016,AGG,0.000722
89848,04/12/2016,AGG,-0.001622
89848,04/13/2016,AGG,0.000451
89848,04/14/2016,AGG,-0.001714
89848,04/15/2016,AGG,0.002802
89848,04/18/2016,AGG,-0.000090
89848,04/19/2016,AGG,-0.000090
89848,04/20/2016,AGG,-0.002434
89848,04/21/2016,AGG,-0.001356
89848,04/22/2016,AGG,0.000090
89848,04/25/2016,AGG,-0.001086
89848,04/26/2016,AGG,-0.000453
89848,04/27/2016,AGG,0.002991
89848,04/28/2016,AGG,0.001988
89848,04/29/2016,AGG,-0.000090
89848,05/02/2016,AGG,-0.000720
89848,05/03/2016,AGG,0.001853
89848,05/04/2016,AGG,0.000451
89848,05/05/2016,AGG,0.002526
89848,05/06/2016,AGG,-0.001530
89848,05/09/2016,AGG,0.000631
89848,05/10/2016,AGG,0.000450
89848,05/11/2016,AGG,0.000000
89848,05/12/2016,AGG,-0.000900
89848,05/13/2016,AGG,0.001892
89848,05/16/2016,AGG,-0.001709
89848,05/17/2016,AGG,-0.001351
89848,05/18/2016,AGG,-0.004149
89848,05/19/2016,AGG,0.000634
89848,05/20/2016,AGG,0.000634
89848,05/23/2016,AGG,-0.000181
89848,05/24/2016,AGG,-0.000543
89848,05/25/2016,AGG,0.000181
89848,05/26/2016,AGG,0.001539
89848,05/27/2016,AGG,-0.000181
89848,05/31/2016,AGG,0.000633
89848,06/01/2016,AGG,-0.000559
89848,06/02/2016,AGG,0.002536
89848,06/03/2016,AGG,0.005420
89848,06/06/2016,AGG,-0.001348
89848,06/07/2016,AGG,0.000900
89848,06/08/2016,AGG,0.000360
89848,06/09/2016,AGG,0.000719
89848,06/10/2016,AGG,0.001347
89848,06/13/2016,AGG,0.000807
89848,06/14/2016,AGG,-0.000448
89848,06/15/2016,AGG,0.002151
89848,06/16/2016,AGG,0.000626
89848,06/17/2016,AGG,-0.000715
89848,06/20/2016,AGG,-0.002773
89848,06/21/2016,AGG,-0.000718
89848,06/22/2016,AGG,0.000628
89848,06/23/2016,AGG,-0.001705
89848,06/24/2016,AGG,0.005212
89848,06/27/2016,AGG,0.004202
89848,06/28/2016,AGG,0.001246
89848,06/29/2016,AGG,-0.000711
89848,06/30/2016,AGG,0.002002
89848,07/01/2016,AGG,0.002198
89848,07/05/2016,AGG,0.002663
89848,07/06/2016,AGG,0.001859
89848,07/07/2016,AGG,-0.000707
89848,07/08/2016,AGG,0.001503
89848,07/11/2016,AGG,-0.002649
89848,07/12/2016,AGG,-0.003010
89848,07/13/2016,AGG,0.001421
89848,07/14/2016,AGG,-0.000887
89848,07/15/2016,AGG,-0.003639
89848,07/18/2016,AGG,0.000534
89848,07/19/2016,AGG,0.001692
89848,07/20/2016,AGG,-0.000889
89848,07/21/2016,AGG,0.000890
89848,07/22/2016,AGG,0.000178
89848,07/25/2016,AGG,-0.001155
89848,07/26/2016,AGG,0.000000
89848,07/27/2016,AGG,0.002936
89848,07/28/2016,AGG,-0.000089
89848,07/29/2016,AGG,0.002661
89848,08/01/2016,AGG,-0.002330
89848,08/02/2016,AGG,-0.002932
89848,08/03/2016,AGG,0.001069
89848,08/04/2016,AGG,0.001869
89848,08/05/2016,AGG,-0.003376
89848,08/08/2016,AGG,0.000624
89848,08/09/2016,AGG,0.002584
89848,08/10/2016,AGG,0.001155
89848,08/11/2016,AGG,-0.002663
89848,08/12/2016,AGG,0.002403
89848,08/15/2016,AGG,-0.001776
89848,08/16/2016,AGG,-0.000623
89848,08/17/2016,AGG,0.001869
89848,08/18/2016,AGG,0.001421
89848,08/19/2016,AGG,-0.002218
89848,08/22/2016,AGG,0.001511
89848,08/23/2016,AGG,0.000266
89848,08/24/2016,AGG,-0.000355
89848,08/25/2016,AGG,-0.001065
89848,08/26/2016,AGG,-0.001600
